source,target,year,weight
112,325,2009,1
112,325,2010,0
112,325,2011,0
112,325,2012,0
112,325,2013,0
112,325,2014,0
112,334,2000,0
112,334,2001,0
112,334,2002,0
112,334,2003,0
112,334,2004,0
112,334,2005,0
112,334,2006,0
112,334,2007,0
112,334,2008,0
112,334,2009,1
112,334,2010,0
112,334,2011,0
112,334,2012,0
112,334,2013,0
112,334,2014,0
112,424,2000,0
112,424,2001,0
112,424,2002,0
112,424,2003,0
112,424,2004,0
112,424,2005,0
112,424,2006,1
112,424,2007,0
112,424,2008,0
112,424,2009,1
112,424,2010,0
112,424,2011,0
112,424,2012,0
112,424,2013,0
112,424,2014,2
112,444,2000,0
112,444,2001,0
112,444,2002,0
112,444,2003,0
112,444,2004,0
112,444,2005,0
112,444,2006,1
112,444,2007,0
112,444,2008,0
112,444,2009,0
112,444,2010,0
112,444,2011,0
112,444,2012,0
112,444,2013,0
112,444,2014,0
112,453,2000,0
112,453,2001,0
112,453,2002,0
112,453,2003,0
112,453,2004,0
112,453,2005,0
112,453,2006,0
112,453,2007,0
112,453,2008,0
112,453,2009,0
112,453,2010,0
112,453,2011,1
112,453,2012,0
112,453,2013,0
112,453,2014,0
112,512,2000,0
112,512,2001,0
112,512,2002,0
112,512,2003,0
112,512,2004,1
112,512,2005,0
112,512,2006,0
112,512,2007,0
112,512,2008,0
112,512,2009,0
112,512,2010,0
112,512,2011,0
112,512,2012,0
112,512,2013,0
112,512,2014,0
112,515,2000,1
112,515,2001,0
112,515,2002,0
112,515,2003,0
112,515,2004,0
112,515,2005,0
112,515,2006,0
112,515,2007,0
112,515,2008,0
112,515,2009,0
112,515,2010,0
112,515,2011,0
112,515,2012,0
112,515,2013,0
112,515,2014,0
113,111,2000,0
113,111,2001,0
113,111,2002,0
113,111,2003,2
113,111,2004,0
113,111,2005,1
113,111,2006,0
113,111,2007,0
113,111,2008,0
113,111,2009,0
113,111,2010,0
113,111,2011,0
113,111,2012,0
113,111,2013,0
113,111,2014,0
113,113,2000,1
113,113,2001,0
113,113,2002,3
113,113,2003,1
113,113,2004,2
113,113,2005,1
113,113,2006,0
113,113,2007,1
113,113,2008,0
113,113,2009,0
113,113,2010,0
113,113,2011,0
113,113,2012,0
113,113,2013,2
113,113,2014,1
113,115,2000,0
113,115,2001,1
113,115,2002,0
113,115,2003,0
113,115,2004,0
113,115,2005,0
113,115,2006,0
113,115,2007,0
113,115,2008,0
113,115,2009,0
113,115,2010,0
113,115,2011,0
113,115,2012,0
113,115,2013,0
113,115,2014,0
113,211,2000,0
113,211,2001,0
113,211,2002,0
113,211,2003,0
113,211,2004,0
113,211,2005,1
113,211,2006,0
113,211,2007,0
113,211,2008,0
113,211,2009,0
113,211,2010,0
113,211,2011,0
113,211,2012,0
113,211,2013,0
113,211,2014,0
113,321,2000,0
113,321,2001,0
113,321,2002,0
113,321,2003,0
113,321,2004,0
113,321,2005,0
113,321,2006,0
113,321,2007,1
113,321,2008,0
113,321,2009,0
113,321,2010,0
113,321,2011,1
113,321,2012,0
113,321,2013,0
113,321,2014,0
113,322,2000,0
113,322,2001,1
113,322,2002,0
113,322,2003,0
113,322,2004,0
113,322,2005,0
113,322,2006,0
113,322,2007,0
113,322,2008,0
113,322,2009,0
113,322,2010,0
113,322,2011,0
113,322,2012,0
113,322,2013,0
113,322,2014,0
113,326,2000,1
113,326,2001,0
113,326,2002,0
113,326,2003,0
113,326,2004,0
113,326,2005,0
113,326,2006,1
113,326,2007,0
113,326,2008,0
113,326,2009,0
113,326,2010,0
113,326,2011,0
113,326,2012,0
113,326,2013,0
113,326,2014,0
113,423,2000,1
113,423,2001,0
113,423,2002,0
113,423,2003,0
113,423,2004,0
113,423,2005,1
113,423,2006,0
113,423,2007,0
113,423,2008,0
113,423,2009,0
113,423,2010,0
113,423,2011,0
113,423,2012,0
113,423,2013,0
113,423,2014,0
113,453,2000,0
113,453,2001,0
113,453,2002,0
113,453,2003,0
113,453,2004,0
113,453,2005,0
113,453,2006,1
113,453,2007,0
113,453,2008,0
113,453,2009,0
113,453,2010,0
113,453,2011,0
113,453,2012,0
113,453,2013,0
113,453,2014,0
113,511,2000,0
113,511,2001,0
113,511,2002,0
113,511,2003,0
113,511,2004,0
113,511,2005,0
113,511,2006,0
113,511,2007,1
113,511,2008,0
113,511,2009,0
113,511,2010,0
113,511,2011,0
113,511,2012,0
113,511,2013,0
113,511,2014,0
113,541,2000,1
113,541,2001,0
113,541,2002,0
113,541,2003,0
113,541,2004,0
113,541,2005,0
113,541,2006,0
113,541,2007,0
113,541,2008,0
113,541,2009,0
113,541,2010,0
113,541,2011,0
113,541,2012,0
113,541,2013,0
113,541,2014,0
114,114,2000,0
114,114,2001,0
114,114,2002,0
114,114,2003,0
114,114,2004,0
114,114,2005,0
114,114,2006,0
114,114,2007,1
114,114,2008,0
114,114,2009,0
114,114,2010,0
114,114,2011,0
114,114,2012,0
114,114,2013,0
114,114,2014,0
114,311,2000,0
114,311,2001,0
114,311,2002,1
114,311,2003,0
114,311,2004,0
114,311,2005,0
114,311,2006,0
114,311,2007,0
114,311,2008,0
114,311,2009,0
114,311,2010,0
114,311,2011,0
114,311,2012,0
114,311,2013,0
114,311,2014,1
115,111,2000,2
115,111,2001,0
115,111,2002,0
115,111,2003,0
115,111,2004,0
115,111,2005,0
115,111,2006,1
115,111,2007,0
115,111,2008,0
115,111,2009,1
115,111,2010,0
115,111,2011,0
115,111,2012,1
115,111,2013,4
115,111,2014,0
115,112,2000,1
115,112,2001,0
115,112,2002,0
115,112,2003,0
115,112,2004,0
115,112,2005,0
115,112,2006,0
115,112,2007,0
115,112,2008,0
115,112,2009,0
115,112,2010,0
115,112,2011,0
115,112,2012,0
115,112,2013,0
115,112,2014,0
115,115,2000,0
115,115,2001,2
115,115,2002,0
115,115,2003,2
115,115,2004,1
115,115,2005,0
115,115,2006,0
115,115,2007,0
115,115,2008,2
115,115,2009,1
115,115,2010,2
115,115,2011,0
115,115,2012,1
115,115,2013,4
115,115,2014,4
115,311,2000,0
115,311,2001,0
115,311,2002,0
115,311,2003,0
115,311,2004,0
115,311,2005,0
115,311,2006,0
115,311,2007,0
115,311,2008,0
115,311,2009,0
115,311,2010,0
115,311,2011,0
115,311,2012,0
115,311,2013,1
115,311,2014,2
115,312,2000,0
115,312,2001,0
115,312,2002,0
